,LastName,FirstName,Name,County,Phone Number,Area,Category,Address1,Address2,CityStateZip
0,,VACANT,VACANT,"Bath, Menifee, Montgomery & Rowan",(859) 498-0488,"Cir. 21, Div. 02",Circuit Judges,Chief Circuit Judge,P.O. Box 1267,"Mt. Sterling, KY 40353"
1,,VACANT,VACANT,Calloway & Marshall,(270) 527-2611,"Cir. 42, Div. 02 Family",,Family Court Judge,312 N. Fourth St.,"Murray, KY 42071"
2,Addington,Pamela,Pamela K. Addington,Hardin,(270) 766-5003,"Cir. 09, Div. 01 Family",,Hardin County Justice Center,120 E. Dixie Ave.,"Elizabethtown, KY 42701-1487"
3,Alexander,John,John T. Alexander,Barren & Metcalfe,(270) 651-2744,"Cir. 43, Div. 01",Circuit Judges,Barren County Courthouse,300 Courthouse Square,"Glasgow, KY 42141"
4,Atkins,John,John L. Atkins,Christian,(270) 889-6537,"Cir. 03, Div. 02",,Christian County Justice Center,100 Justice Way,"Hopkinsville, KY 42240"
5,Ballou,Daniel,Daniel Ballou,McCreary & Whitley,(606) 549-0825,"Cir. 34, Div. 01",Circuit Judges,Whitley County Judicial Center,"100 Main St., P.O. Box 329","Williamsburg, KY 40769"
6,Bartlett,Gregory,Gregory Bartlett,Kenton,(859) 292-6530,"Cir. 16, Div. 03",,Kenton County Judicial Center,"230 Madison Ave., Suite 701","Covington, KY 41011"
7,Bertram,Allan,Allan Ray Bertram,"Green, Marion, Taylor & Washington",(270) 465-6603,"Cir. 11, Div. 02",,Taylor County Justice Center,"300 E. Main St., Suite 301","Campbellsville, KY 42718"
8,Bisig,Angela,Angela McCormick Bisig,Jefferson,(502) 595-4327,"Cir. 30, Div. 10",Circuit Judges,Jefferson County Judicial Center,700 W. Jefferson St.,"Louisville, KY 40202"
9,Bramlage,Linda,Linda Rae Bramlage,Boone & Gallatin,(859) 817-5820,"Cir. 54, Div. 02 Family",,Boone County Justice Center,6025 Rogers Lane,"Burlington, KY 41005-0480"
10,Brantley,James,James Brantley,Hopkins,(270) 824-7422,"Cir. 04, Div 01",,Hopkins County Judicial Center,"120 E. Center Street, Box 1","Madisonville, KY 42431"
11,Brislin,Traci,Traci Brislin,Fayette,(859) 246-2214,"Cir. 22, Div. 02 Family",,Robert F. Stephens Circuit Courthouse,120 N. Limestone,"Lexington, KY 40507"
12,Broderson,Sid,Sid Broderson,Allen & Simpson,(270) 586-9652,"Cir. 49, Div. 02 Family",,"101 N. Court St., 2nd Floor",P.O. Box 662,"Franklin, Ky. 42134"
13,Brown,Brandy,Brandy Oliver Brown,Clark & Madison,(859) 624-4750,"Cir. 25, Div. 01",Circuit Judges,Madison County Courthouse,101 W. Main St.,"Richmond, KY 40475"
14,Brown,Denise,Denise DeBerry Brown,Jefferson,(502) 595-4993,"Cir. 30, Div. 07 Family",,Jefferson County Judicial Center,700 W. Jefferson St.,"Louisville, KY 40202"
15,Brueggemann,Richard,Richard A. Brueggemann,Boone & Gallatin,(859) 817-5800,"Cir. 54, Div. 01",Circuit Judges,Boone County Justice Center,"6025 Rogers Lane, Suite 444","Burlington, KY 41005"
16,Bunnell,Kimberly,Kimberly Nell Bunnell,Fayette,(859) 246-2210,"Cir. 22, Div. 09",Circuit Judges,Chief Circuit Judge,120 N. Limestone,"Lexington, KY 40507-1151"
17,Burdette,Jeffrey,Jeffrey T. Burdette,"Lincoln, Pulaski & Rockcastle",(606) 677-4098,"Cir. 28, Div. 02",,Chief Circuit Judge,"50 Public Square, 3rd Floor","Somerset, KY 42501"
18,Burress,Rodney,Rodney D. Burress,Bullitt,(502) 543-4776,"Cir. 55, Div. 01",Circuit Judges,Circuit Judge,P.O. Box 97,"Shepherdsville, KY 40165"
19,Butler,Bruce,Bruce T. Butler,"Breckinridge, Grayson & Meade",(270) 756-6278,"Cir. 46 , Div. 01",Circuit Judges,Chief Circuit Judge,P.O. Box 989,"Hardinsburg, KY 40143-0989"
20,Calvert,Gina,Gina K. Calvert,Jefferson,(502) 595-4998,"Cir. 30, Div. 09 Family",,Jefferson County Judicial Center,700 W. Jefferson St.,"Louisville, KY 40202"
21,Caperton,Michael,Michael O. Caperton,Knox & Laurel,(606) 330-2135,"Cir. 27, Div. 02",Circuit Judges,Laurel County Judicial Center,"305 S. Main St., P.O. Box 5189","London, KY 40745"
22,Castlen,Joseph,Joseph Castlen,Daviess,(270) 687-7228,"Cir. 06, Div. 02",Circuit Judges,Holbrook Judicial Center,100 E. Second St.,"Owensboro, KY 42303-4108"
23,Chauvin,A.,A. C. McKay Chauvin,Jefferson,(502) 595-4294,"Cir. 30, Div. 08",Circuit Judges,Jefferson County Judicial Center,700 W. Jefferson St.,"Louisville, KY 40202-4733"
24,Childers,Kim,Kim Cornett Childers,Knott & Magoffin,(606) 785-3842,Cir. 36,,53 West Main St.,P.O. Box 867,"Hindman, KY 41822"
25,Coleman,Eddy,Eddy Coleman,Pike,(606) 433-7554,"Cir. 35, Div. 01",,Pike County Judicial Center,175 Main St.,"Pikeville, KY 41501"
26,Coleman,Timothy,Timothy R. Coleman,"Butler, Edmonson, Hancock & Ohio",(270) 298-7250,"Cir. 38, Div. 01",Circuit Judges,Circuit Judge,"P.O. Box 169, Washington St.","Hartford, KY 42347"
27,Combs,Steven,Steven D. Combs,Pike,(606) 433-7551,"Cir. 35, Div. 02",Circuit Judges,Pike County Judicial Center ,175 Main St.,"Pikeville, KY 41501"
28,Conley,Robert,Robert Conley,Greenup & Lewis,(606) 473-7165,"Cir. 20, Div. 01",Circuit Judges,Courthouse Annex,101 Harrison St.,"Greenup, KY 41144"
29,Conrad,Karen,Karen A. Conrad,"Henry, Oldham & Trimble",(502) 222-1692,"Cir. 12, Div. 01",,Oldham County Courthouse,100 W. Main St.,"La Grange, KY 40031-1116"
30,Costanzo,Robert,Robert V. Costanzo,Bell,(606) 337-5949,Cir. 44,Circuit Judges,Farmer Helton Judicial Center,"101 Park Ave., Suite 210, P.O. Box 751","Pineville, KY 40977"
31,Cox,Jerry,Jerry J. Cox,"Lincoln, Pulaski & Rockcastle",(606) 677-4091,"Cir. 28, Div. 01",Circuit Judges,Pulaski County Court of Justice,50 Public Square,"Somerset, KY 42501"
32,Craft,James,James W. Craft II,Letcher,(606) 633-2259,Cir. 47,Circuit Judges,Letcher County Courthouse,"156 Main St., Suite 205","Whitesburg, KY 41858"
33,Crocker,Janet,Janet J. Crocker,Allen & Simpson,(270) 586-8058,"Cir. 49, Div. 01",,Simpson County Justice Center,"101 Court St., P.O. Box 509","Franklin, KY 42135-0509"
34,Cunningham,Charles,Charles L. Cunningham Jr.,Jefferson,502-595-4604 (,"Cir. 30, Div. 04",Circuit Judges,Jefferson County Judicial Center,"700 W. Jefferson St., Suite 703","Louisville, KY 40202"
35,Daugherty,Hunter,Hunter Daugherty,Garrard & Jessamine,(859) 885-6722,"Cir. 13, Div. 01",,Chief Circuit Judge,101 N. Main St.,"Nicholasville, KY 40356"
36,Davis,George,George W. Davis III,Boyd,(606) 739-5844,"Cir. 32, Div. 01",,Boyd County Judicial Center,2805 Louisa Street,"Catlettsburg, KY 41129"
37,Dean,Michael,Michael Dean,"Estill, Lee & Owsley",(606) 723-4865,Cir. 23,Circuit Judges,Circuit Judge,137 Main St.,"Irvine, KY 40336"
38,Delaney,Jay,Jay Delaney,"Harrison, Nicholas, Pendleton & Robertson",(859) 234-3431,"Cir. 18, Div. 01",,Harrison Co. Justice Center,"115 Court St., Suite 5","Cynthiana, KY 41031"
39,Dusing,Jennifer,Jennifer R. Dusing,Boone & Gallatin,(859) 448-2944,"Cir. 54, Div. 04 Family",,Boone County Justice Center,6025 Rogers Lane Room 349,"Burlington, KY 41005"
40,Easton,Kelly,Kelly Mark Easton,Hardin,(270) 766-5259,"Cir. 09, Div. 03",,Hardin County Justice Center,120 East Dixie Ave.,"Elizabethtown, KY 42701"
41,Eckerle,Audra,Audra Jean Eckerle,Jefferson,(502) 595-4103,"Cir. 30, Div. 07",Circuit Judges,Jefferson County Judicial Center,700 W. Jefferson St.,"Louisville, KY 40202"
42,Edwards,Brian,Brian C. Edwards,Jefferson,(502) 595-4400,"Cir. 30, Div. 11",Circuit Judges,Jefferson County Judicial Center,700 W. Jefferson St.,"Louisville, KY 40202"
43,Edwards,Jennifer,Jennifer Upchurch Edwards,Russell & Wayne,270-343-1360 (,"Cir. 57, Div. 02 Family",,Russell County Judicial Center,"202 Monument Square, Suite 223","Jamestown, KY 42629"
44,Farris,Sheila,Sheila N. Farris,Henderson,(270) 869-0460,"Cir. 51, Div. 02 Family",,Family Court Judge,5 N. Main St.,"Henderson, KY 42420"
45,Flatt,David,David D. Flatt,"Carter, Elliott & Morgan",(606) 475-1801,"Cir. 37, Div. 02 Family",,Family Court Judge,102 E. Main St.,"Grayson, KY 41143"
46,Fleming,Jason,Jason Shea Fleming,Christian,(270) 889-6038,"Cir. 03, Div. 03 Family",,"Christian Co. Justice Center, 2nd Floor",100 Justice Way,"Hopkinsville, KY 42240"
47,Fletcher,Frank,Frank A. Fletcher,"Breathitt, Powell & Wolfe",(606) 666-7130,"Cir. 39, Div. 01",,Breathitt County Judicial Center,P.O. Box 946,"Jackson, KY 41339-0946"
48,Fryman,Heather,Heather Fryman,"Harrison, Nicholas, Pendleton & Robertson",(859) 234-0190,"Cir. 18, Div. 02 Family",,Harrison County Justice Center,"115 Court St., Suite 7","Cynthiana, KY 41031"
49,Gentry,Dawn,Dawn M. Gentry,Kenton,(859) 292-6364,"Cir. 16, Div. 05 Family",,Kenton County Justice Center,"230 Madison Ave., 5th Floor","Covington, KY 41011-1539"
50,Gibson,Susan,Susan Schultz Gibson,Jefferson,(502) 595-3012,"Cir. 30, Div. 12",Circuit Judges,Jefferson County Judicial Center,700 W. Jefferson St.,"Louisville, KY 40202"
51,Goff,Kenneth,Kenneth Harold Goff II,"Breckinridge, Grayson & Meade",(270) 259-6785,"Cir. 46, Div. 02",Circuit Judges,Grayson County Judicial Center,500 Carroll Gibson Blvd.,"Leitchfield, KY 42754"
52,Goodman,Julie,Julie Muth Goodman,Fayette,(859) 246-2216,"Cir. 22, Div. 04",Circuit Judges,Robert F. Stephens Circuit Courthouse,120 N. Limestone,"Lexington, KY 40507"
53,Goodwin,Doreen,Doreen S. Goodwin,"Henry, Oldham & Trimble",(Phone) -NEW-,"Cir. 12, Div. 02 Family",,Oldham County Courthouse,"100 W. Main St., 3rd Floor","LaGrange, KY 40031"
54,Gordon,Julia,Julia H. Gordon,Daviess,(270) 689-0169,"Cir. 06, Div. 03 Family",,Holbrook Judicial Center,100 E. 2nd St.,"Owensboro, KY 42303"
55,Grise,John,John R. Grise,Warren,(270) 746-7408,"Cir. 08, Div. 02",,Warren County Justice Center,"1001 Center St., Suite 401","Bowling Green, Kentucky 42101"
56,Hagerty,Tara,Tara Hagerty,Jefferson,(502) 595-3292,"Cir. 30, Div. 05 Family",,Jefferson County Judicial Center,700 W. Jefferson St.,"Louisville, KY 40202"
57,Hall,Brent,Brent Hall,Hardin,(270) 766-5311,"Cir. 09, Div. 04 Family",,Family Court Judge,120 E. Dixie Ave.,"Elizabethtown, KY 42701"
58,Harris,Clint,Clint J. Harris,"Clay, Jackson & Leslie",(606) 599-0948,"Cir. 41 Family, Div. 02",,Family Court Judge,"316 Main St., Suite 325","Manchester, KY 40962"
59,Harris,Johnny,Johnny Ray Harris,Floyd,(606) 889-1653,"Cir. 31, Div. 01",Circuit Judges,Floyd County Justice Center,127 S. Lake Drive,"Prestonsburg, KY 41653"
60,Haynie,Hugh,Hugh Smith Haynie Jr.,Jefferson,(502) 595-4996,"Cir. 30, Div. 02 Family",,Jefferson County Judicial Center,"700 W. Jefferson St., Suite 220","Louisville, KY 40202-4730"
61,Hellard,S. Marie,S. Marie Hellard,"Anderson, Shelby, Spencer",(502) 633-3252,"Cir. 53, Div. 02 Family",,Shelby County Judicial Center,"401 Main St., Suite 402","Shelbyville, KY 40065"
62,Hendricks,Joe,Joe W. Hendricks Jr.,Logan & Todd,(270) 726-2242,Cir. 07,Circuit Judges,Logan County Court of Justice,329 W. 4th St. P.O. Box 68,"Russellville, KY 42276"
63,Hendrickson,Kent,Kent Hendrickson,Harlan,(606) 573-3242,Cir. 26,Circuit Judges,Harlan County Justice Center,"129 S. 1st St., P.O. Box 1530","Harlan, KY 40831-5530"
64,Henschel,Deanna,Deanna Wise Henschel,McCracken,(270) 575-7133,"Cir. 02, Div. 03 Family",,McCracken County Courthouse,301 S. Sixth St.,"Paducah, KY 42003"
65,Hickman,Charles,Charles R. Hickman,"Anderson, Shelby & Spencer",(502) 647-5234,"Cir. 53, Div. 01",,Chief Circuit Judge,"401 Main St., Suite 401","Shelbyville, KY 40065"
66,Holderfield,Catherine,Catherine Rice Holderfield,Warren,(270) 746-7190,"Cir. 08, Div. 04 Family",,Warren County Justice Center,"1001 Center St., Suite 303","Bowling Green, KY 42101"
67,House,Oscar,Oscar Gayle House,"Clay, Jackson & Leslie",(606) 598-5251,"Cir. 41, Div. 01",,Clay County Justice Center,"316 Main St., Suite 320","Manchester, KY 40962"
68,Howard,Ken,Ken M. Howard,Hardin,(270) 766-5039,"Cir. 09, Div. 02",,Hardin County Justice Center,120 E. Dixie Ave.,"Elizabethtown, KY 42701"
69,Jameson,James,James T. Jameson,Calloway & Marshall,(270) 527-1480,"Cir. 42, Div. 01",Circuit Judges,Marshall Circuit Court,"Marshall County Judicial Building 80 Judicial Drive Benton, KY 42025 Calloway Circuit Court Calloway County Judicial Building 312 N. 4th St.","Murray, KY 42071"
70,Johnson,Angela,Angela J. Johnson,Jefferson,(502) 595-4656,"Cir. 30, Div. 01 Family",,Jefferson County Judicial Center,700 W. Jefferson St.,"Louisville, KY 40202"
