,LastName,FirstName,Name,County,Phone Number,Area,Category,Address1,Address2,CityStateZip
0,,Ann,Ann Arnett,Green,(270) 932-5631,Cir. 11,Circuit Clerks,Green County Judicial Center,200 W. Court St.,"Greensburg, KY 42743"
1,Avery,Linda,Linda Avery,Calloway,(270) 753-2714,Cir. 42,Circuit Clerks,Calloway County Judicial Building,312 N. 4th St.,"Murray, KY 42071"
2,Barton,Gary,Gary W. Barton,Whitley-Williamsburg,(606) 549-2973,Cir. 34,Circuit Clerks,Whitley County Judicial Center,"100 Main St., P.O. Box 329","Williamsburg, KY 40769-0329"
3,Belcher,Gloria,Gloria Belcher,Carroll,(502) 732-4305,Cir. 15,Circuit Clerks,William L. Wheeler Hall of Justice,802 Clay St.,"Carrollton, KY 41008"
4,Besecker,Jennifer,Jennifer Hardesty Besecker,Daviess,(270) 687-7333,Cir. 06,Circuit Clerks,Holbrook Judicial Center,"100 E. 2nd St., P.O. Box 277","Owensboro, KY 42302-0277"
5,Blain,Stacie,Stacie Blain,Grayson,(270) 259-3040,Cir. 46,Circuit Clerks,Grayson County Judicial Center,500 Carroll Gibson Blvd.,"Leitchfield, KY 42754"
6,Bolen,Lisa,Lisa Bolen,Knott,(606) 785-5021,Cir. 36,Circuit Clerks,Knott County Judicial Center,"53 W. Main St., P.O. Box 1317","Hindman, KY 41822"
7,Boling,Michael,Michael T. Boling,Hancock,(270) 927-8144,Cir. 38,Circuit Clerks,Hancock County Judicial Center,"310 Hawesville School Drive, P.O. Box 250","Hawesville, KY 42348-0250"
8,Bowman,Tanya,Tanya M. Bowman,Hopkins,(270) 824-7501,Cir. 04,Circuit Clerks,Hopkins County Judicial Center,120 E. Center St.,"Madisonville, KY 42431"
9,Brinegar,Stephanie,Stephanie L. Brinegar,Estill,(606) 723-3970,Cir. 23,Circuit Clerks,Estill County Courthouse,"130 Main St., Suite 207","Irvine, KY 40336"
10,Bruner,Stacy,Stacy M. Bruner,Trimble,(502) 255-3213,Cir. 12,Circuit Clerks,Trimble County Courthouse,"30 Highway 42 E, P.O. Box 248","Bedford, KY 40006-0248"
11,Buchanan,Allison,Allison Buchanan,Mercer,(859) 734-8452,Cir. 50,Circuit Clerks,Mercer County Judicial Center,224 S. Main St.,"Harrodsburg, KY 40330"
12,Buzanis,Emily,Emily Ward Buzanis,Graves,(270) 247-1733,Cir. 52,Circuit Clerks,Graves County Courthouse,"100 E. Broadway, Suite 1","Mayfield, KY 42066"
13,Callahan,Teresa,Teresa Callahan,Lewis,(606) 796-3053,Cir. 20,Circuit Clerks,Lewis County Justice Center,"94 2nd St., P.O. Box 70","Vanceburg, KY 41179-0070"
14,Calvert,Todd,Todd B. Calvert,Allen,(270) 237-3561,Cir. 49,Circuit Clerks,Allen County Judicial Center,200 West Main St.,"Scottsville, KY 42164"
15,Cardwell,Melissa,Melissa Cardwell,Butler,(270) 526-5631,Cir. 38,Circuit Clerks,Butler County Courthouse,"110 North Main St., P.O. Box 625","Morgantown, KY 42261-0625"
16,Castle,Penny,Penny Adams Castle,Johnson,(606) 297-9567,Cir. 24,Circuit Clerks,Johnson County Judicial Center,"908 3rd St., Suite 109","Paintsville, KY 41240"
17,Channell,Kim,Kim Channell,McCracken,(270) 575-7280,Cir. 02,Circuit Clerks,McCracken County Courthouse,"300 Clarence Gaines St., P.O. Box 1455","Paducah, KY 42002-1455"
18,Coffee,Mary,Mary E. Coffee,Morgan,(606) 743-3763,Cir. 37,Circuit Clerks,Morgan County Judicial Center,261 Court St.,"West Liberty, KY 41472"
19,Cole,Janet,Janet Cole,Webster,(270) 639-9160,Cir. 05,Circuit Clerks,Webster County Judicial Center,35 U.S. Highway 41 A. South P.O. Box 290,"Dixon, KY 42409-0290"
20,Cowherd,J.,J. Mark Cowherd,Todd,(270) 265-2343,Cir. 07,Circuit Clerks,Todd County Courthouse,"204 W. Main St., P.O. Box 337","Elkton, KY 42220-0337"
21,Crady,Loretta,Loretta Crady,Hardin- Elizabethtown,(270) 766-5000,Cir. 09,Circuit Clerks,Hardin County Justice Center,120 E. Dixie Ave.,"Elizabethtown, KY 42701"
22,Daniels,Tracy,Tracy Brewington Daniels,Cumberland,(270) 864-2611,Cir. 40,Circuit Clerks,Cumberland County Justice Building,P.O. Box 395,"Burkesville, KY 42717"
23,Duncan,Kimberly,Kimberly Duncan,Lyon,(270) 388-7231,Cir. 56,Circuit Clerks,Lyon County Judicial Center,"500 W. Dale Ave., P.O. Box 565","Eddyville, KY 42038-0565"
24,Dunker,Holly,Holly Oldham Dunker,Ballard,(270) 335-5123,Cir. 01,Circuit Clerks,Ballard County Courthouse,"132 N. 4th St., P.O. Box 265","Wickliffe, KY 42087-0265"
25,Duvall,Brandi,Brandi Duvall,Warren,(270) 746-7400,Cir. 08,Circuit Clerks,Warren County Justice Center,"1001 Center St., Suite 102","Bowling Green, KY 42101"
26,Edwards,Christie,Christie Edwards,Woodford,(859) 873-3711,Cir. 14,Circuit Clerks,Woodford County Courthouse Annex,130 Court St.,"Versailles, KY 40383"
27,Ernst,Emily,Emily N. Ernst,LaRue,(270) 358-3421,Cir. 10,Circuit Clerks,LaRue County Courthouse Annex,"209 W. High St., P.O. Box 191","Hodgenville, KY 42748-0191"
