,LastName,FirstName,Name,County,Phone Number,Area,Category,Address1,Address2,CityStateZip
0,,Vacant,Vacant,"Allen, Ballard, Butler, Caldwell, Calloway, Carlisle, Christian, Crittenden, Edmonson, Fulton, Graves, Hickman, Hopkins, Livingston, Logan, Lyon, Marshall, McCracken, McLean, Muhlenberg, Simpson, Todd, Trigg, and Webster",(502) 573-7920,"1st District, 1st Division",Court of Appeals Judges,Kentucky Court of Appeals,360 Democrat Drive,"Frankfort, KY 40601"
1,Acree,Glenn,Glenn E. Acree,"Anderson, Bourbon, Boyle, Clark, Fayette, Franklin, Jessamine, Madison, Mercer, Scott, and Woodford",(859) 246-2734,"5th District, 2nd Division",Court of Appeals Judges,Tate Building,"125 Lisle Industrial Ave., Suite 140","Lexington, Ky 40511-2058"
2,Caldwell,Jacqueline,Jacqueline M. Caldwell,"Adair, Bell, Casey, Clay, Clinton, Cumberland, Estill, Garrard, Green, Jackson, Knox, Laurel, Lee, Leslie, Lincoln, Marion, McCreary, Metcalfe, Monroe, Nelson, Pulaski, Rockcastle, Russell, Taylor, Washington, Wayne, and Whitley",(859) 336-1076,"3rd District, 1st Division",Court of Appeals Judges,Washington County Judicial Center,"100 E. Main St., Suite 200","Springfield, KY 40069"
3,Clayton,Denise,Denise G. Clayton,Jefferson,(502) 595-3440,"4th District, 2nd Division",Court of Appeals Judges,Kentucky Court of Appeals,"700 W. Jefferson St., Suite 1020","Louisville, KY 40202-4737"
4,Combs,Sara,Sara Walter Combs,"Boyd, Breathitt, Carter, Elliot, Floyd, Greenup, Harlan, Johnson, Knott, Lawrence, Letcher, Magoffin, Martin, Menifee, Montgomery, Morgan, Owsley, Perry, Pike, Powell, Rowan and Wolfe",(606) 663-0651,"7th District, 1st Division",Court of Appeals Judges,Kentucky Court of Appeals,"323 E. College Ave., P.O. Box 709","Stanton, KY 40380-0709"
5,Dixon,Donna,Donna L. Dixon,"Allen, Ballard, Butler, Caldwell, Calloway, Carlisle, Christian, Crittenden, Edmonson, Fulton, Graves, Hickman, Hopkins, Livingston, Logan, Lyon, Marshall, McCracken, McLean, Muhlenberg, Simpson, Todd, Trigg, and Webster",(270) 575-7171,"1st District, 2nd Division",Court of Appeals Judges,Kentucky Court of Appeals,"423 S. 28th St., Suite B","Paducah, KY 42003"
6,Givens,Samuel,Samuel P. Givens Jr.,Franklin,(502) 573-7920,,Court of Appeals Judges,Clerk of the Court of Appeals,360 Democrat Drive,"Frankfort, KY 40601-8209"
7,Goodwine,Pamela,Pamela R. Goodwine,"Anderson, Bourbon, Boyle, Clark, Fayette, Franklin, Jessamine, Madison, Mercer, Scott, and Woodford",(859) 246-4111,"5th District, 1st Division",Court of Appeals Judges,Robert F. Stephens Circuit Courthouse,120 N. Limestone St.,"Lexington, KY 40507"
8,Jones,Allison,Allison Jones,"Bath, Boone, Bracken, Campbell, Carroll, Fleming, Gallatin, Grant, Harrison, Henry, Kenton, Lewis, Mason, Nicholas, Oldham, Owen, Pendleton, Robertson, Shelby, Spencer, and Trimble",(859) 669-1212,"6th District, 1st Division",Court of Appeals Judges,Kentucky Court of Appeals,330 York St.,"Newport, KY 41071"
9,Kramer,Joy,Joy A. Kramer,"Bath, Boone, Bracken, Campbell, Carroll, Fleming, Gallatin, Grant, Harrison, Henry, Kenton, Lewis, Mason, Nicholas, Oldham, Owen, Pendleton, Robertson, Shelby, Spencer, and Trimble",(859) 689-6999,"6th District, 2nd Division",Court of Appeals Judges,Boone County Justice Center,"6025 Rogers Lane, Suite 238","Burlington, KY 41017"
10,Lambert,James,James H. Lambert,"Adair, Bell, Casey, Clay, Clinton, Cumberland, Estill, Garrard, Green, Jackson, Knox, Laurel, Lee, Leslie, Lincoln, Marion, McCreary, Metcalfe, Monroe, Nelson, Pulaski, Rockcastle, Russell, Taylor, Washington, Wayne, and Whitley",(606) 256-0472,"3rd District, 2nd Division",Court of Appeals Judges,Rockcastle County Judicial Center,"205 E. Main St, Suite 101 Box 7","Mount Vernon, KY 40456"
11,Maze,Irv,Irv Maze,Jefferson,(502) 595-3430,"4th District, 1st Division",Court of Appeals Judges,Kentucky Court of Appeals,"700 W. Jefferson St., Suite 1010","Louisville, KY 40202-4724"
12,Taylor,,Jeff S. Taylor,"Barren, Breckinridge, Bullitt, Daviess, Grayson, Hancock, Hardin, Hart, Henderson, Larue, Meade, Ohio, Union, and Warren",(270) 687-7116,"2nd District, 1st Division",Court of Appeals Judges,Kentucky Court Of Appeals,"401 Frederica St., Suite A-102","Owensboro, KY 42303"
13,Thompson,Larry,Larry E. Thompson,"Boyd, Breathitt, Carter, Elliot, Floyd, Greenup, Harlan, Johnson, Knott, Lawrence, Letcher, Magoffin, Martin, Menifee, Montgomery, Morgan, Owsley, Perry, Pike, Powell, Rowan and Wolfe",(606) 433-5414,"7th District, 2nd Division",Court of Appeals Judges,Pike County Judicial Center,"175 Main St., 3rd floor","Pikeville, KY 41501"
14,Thompson,Kelly,Kelly Thompson,"Barren, Breckinridge, Bullitt, Daviess, Grayson, Hancock, Hardin, Hart, Henderson, Larue, Meade, Ohio, Union, and Warren",(270) 746-7218,"2nd District, 2nd Division",Court of Appeals Judges,Warren County Justice Center,"1001 Center St., Suite 204","Bowling Green, KY 42101"
