,LastName,FirstName,Name,County,Phone Number,Area,Category,Address1,Address2,CityStateZip
0,Adams,John,John Lindsey Adams,Christian,(270) 889-6544,"Dist. 03, Div . 01",District Judges,Christian County Justice Center,100 Justice Way,"Hopkinsville, KY 42240"
1,Anderson,Amy,Amy S. Anderson,"Green, Marion, Taylor & Washington",(270) 465-0367,"Dist. 11, Div. 01",District Judges,Taylor County Justice Center,300 E. Main St. P.O. Box 1183,"Campbellsville, KY 42719-1183"
2,Bailey-Lewis,Henria,Henria Bailey-Lewis,"Clay, Jackson & Leslie",(606) 598-6170,"Dist. 41, Div. 02",District Judges,Clay County Justice Center,316 Main St.,"Manchester, Ky. 40962"
3,Bell,T.,T. Bruce Bell,Fayette,(859) 246-2247,"Dist. 22, Div. 02",District Judges,Fayette District Court,"150 N. Limestone, 5th Floor, Room 531","Lexington, KY 40507-1151"
4,Blair,Don,Don Blair,"Bath, Menifee, Montgomery & Rowan",(859) 498-6622,"Dist. 21, Div. 02",District Judges,Montgomery County Courthouse,1 Court Street,"Mt. Sterling, KY 40353"
5,Blau,Cameron,Cameron J. Blau,Campbell,(859) 292-6322,"Dist. 17, Div. 01",District Judges,Campbell County Courthouse,330 York St.,"Newport, KY 41071"
6,Booth,Janet,Janet C. Booth,"Garrard, Jessamine & Lincoln",(859) 885-5615,"Dist. 13 , Div. 02",,Jessamine County Court Complex,107 N. Main St.,"Nicholasville, KY 40356"
7,Bouvier,Joseph,Joseph T. Bouvier,Fayette,(859) 246-2247,"Dist. 22, Div. 01",,Fayette District Court,"150 North Limestone, Room 531","Lexington, KY 40507"
8,Bowles,David,David P. Bowles,Jefferson,(502) 595-4990,"Dist. 30, Div. 08",District Judges,Louis D. Brandeis Hall Of Justice,600 W. Jefferson St.,"Louisville, KY 40202"
9,Brady,Jill,Jill Brady,Henderson,(270) 826-4755,"Dist. 51, Div. 01",District Judges,Henderson County Judicial Center,5 N. Main St. P.O. Box 675,"Henderson, KY 42419"
10,Brown,John,John B. Brown,Warren,(270) 746-7223,"Dist. 08, Div. 03",,Warren County Justice Center ,"1001 Center St., Suite 201","Bowling Green, KY 42101"
11,Bullock,Linda,Linda Dixon Bullock,"Anderson, Shelby & Spencer",(502) 633-4130,"Dist. 53, Div. 01",District Judges,Shelby County Judicial Center,"401 Main Street, Suite 403","Shelbyville, KY 40065"
12,Burke,Stephanie,Stephanie Pearce Burke,Jefferson,(502) 595-4983,"Dist. 30, Div. 14",District Judges,Louis D. Brandeis Hall Of Justice,600 W. Jefferson St.,"Louisville, KY 40202"
13,Burlew,Daniel,"Daniel M. ""Nick"" Burlew II",Daviess,(270) 687-7217,"Dist. 06, Div. 03",District Judges,Holbrook Judicial Center,100 E. Second St.,"Owensboro, KY 42303"
14,Butcher,D.,D. Brett Butcher,"Johnson, Martin & Lawrence",(606) 297-9583,"Dist. 24, Div. 02",District Judges,Johnson County Judicial Center,"908 3rd St., Suite 120","Paintsville, KY 41240"
15,Butler,Bradley,Bradley S. Butler,"Breckinridge, Grayson & Meade",Pending (Phone,"Dist. 46, Div. 01",District Judges,Breckinridge County Justice Center,111 W. 2nd St. P.O. Box 32,"Hardinsburg, KY 40143-0032"
16,Castillo,Kristi,Kristi Renee Castillo,Cumberland & Monroe,(270) 864-5600,Dist. 60,,Cumberland County Justice Building,P.O. Box 824,"Burkesville, KY 42717-0824"
17,Chafin,John,John T. Chafin,"Johnson, Lawrence & Martin",(606) 297-9581,"Dist. 24, Div. 01",District Judges,Johnson County Judicial Center,"908 3rd St., Suite 120","Paintsville, KY 41240"
18,Chandler,Elizabeth,Elizabeth A. Chandler,"Carroll, Grant & Owen",(502) 732-5880,"Dist. 15, Div. 01",District Judges,William L. Wheeler Hall of Justice,802 Clay St.,"Carrollton, KY 41008"
19,Chappell,John,John Paul Chappell,Knox & Laurel,(606) 330-2060,"Dist. 27, Div. 02",District Judges,Laurel County Judicial Center,"305 S. Main St., P.O. Box 1798","London, KY 40743-1798"
20,Cotthoff,J. Foster,J. Foster Cotthoff,Christian,(270) 889-6544,"Dist. 03, Div. 02",District Judges,Christian County Justice Center,100 Justice Way,"Hopkinsville, KY 42240"
21,Crebessa,Steven,Steven R. Crebessa,"Breckinridge, Grayson & Meade",(270) 422-7800,"Dist. 46, Div. 02",District Judges,Meade County Courthouse,"516 Hillcrest Drive, Suite 6","Brandenburg, KY 40108"
22,Crick,Brian,Brian Crick,McLean & Muhlenberg,(270) 338-0997,Dist. 45,District Judges,109 E. Main Cross,P.O. Box 274,"Greenville, KY 42345"
23,Crooks,Deborah,Deborah Hawkins Crooks,Graves,(270) 247-0580,Dist. 52,,Graves County Courthouse,100 E. Broadway,"Mayfield, KY 42066"
24,Crosby,Jerry,Jerry D. Crosby,"Oldham, Henry & Trimble",(502) 222-7447,"Dist. 12, Div. 02",,Chief District Judge,100 W. Main St.,"La Grange, KY 40031"
25,Delahanty,Anne,Anne Delahanty,Jefferson,(502) 595-1278,"Dist. 30, Div. 13",District Judges,Louis D. Brandeis Hall Of Justice,600 W. Jefferson St.,"Louisville, KY 40202"
26,Dotson,Jeff,Jeff L. Dotson,Boyle & Mercer,(859) 734-9575,Dist. 50,,Mercer County Judicial Center,224 S. Main St.,"Harrodsburg, KY 40330-2306"
27,Dutton,Donna,Donna G. Dutton,"Anderson, Shelby & Spencer",(502) 633-7359,"Dist. 53, Div. 02",District Judges,Shelby County Judicial Center,401 Main St. Suite 404,"Shelbyville, KY 40065"
28,Easterling,Kenneth,Kenneth L. Easterling,Kenton,(859) 292-6576,"Dist. 16, Div. 02",District Judges,Kenton County Justice Center,"230 Madison Ave., Fourth Floor","Covington, KY 41011"
29,Funk,Thomas,Thomas M. Funk,"Carroll, Grant & Owen",(859) 824-0189,"Dist. 15, Div. 02",District Judges,Grant County Judicial Center,224 S. Main St.,"Williamstown, KY 41097"
30,Garvey,Kristina,Kristina Garvey,Jefferson,(502) 595-4991,"Dist. 30, Div. 03",District Judges,Louis D. Brandeis Hall Of Justice,600 W. Jefferson St.,"Louisville, KY 40202"
31,Goehring,Cody,Cody Goehring,Perry,(606) 435-6007,Dist. 33,District Judges,Perry County Hall of Justice,"545 Main St., 2nd Floor","Hazard, KY 41701"
